"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Process Create:
RuleName: -
UtcTime: 2025-02-07 08:14:39.973
ProcessGuid: {425f3eb2-c0ef-67a5-7e0e-000000000d00}
ProcessId: 10060
Image: C:\Program Files\Git\cmd\git.exe
FileVersion: 2.47.1.windows.2
Description: Git for Windows
Product: Git
Company: The Git Development Community
OriginalFileName: git.exe
CommandLine: ""C:\Program Files\Git\cmd\git.exe"" for-each-ref --format=%%(refname)The operation completed successfully.%%(upstream:short)The operation completed successfully.%%(objectname)The operation completed successfully.%%(upstream:track)The operation completed successfully.%%(upstream:remotename)The operation completed successfully.%%(upstream:remoteref) --ignore-case refs/heads/test-local refs/remotes/test-local
CurrentDirectory: C:\Users\admin\Desktop\export-sysmon-log\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-d380-67a4-4938-020000000000}
LogonId: 0x23849
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=159617E95EE3199A9973BAF947356890,SHA256=332883EA074ABEABAA6B2FF4D744371DA0FA00D259F7E49D3AB5C8FDFBE80920,IMPHASH=EE3C6A8F0AB6258AC0199A08F878F6B3
ParentProcessGuid: {425f3eb2-c0e8-67a5-210e-000000000d00}
ParentProcessId: 5328
ParentImage: C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe
ParentCommandLine: ""C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\admin\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=3792,i,5256079706014587714,9801614069133507600,262144 --disable-features=CalculateNativeWinOcclusion,PlzDedicatedWorker,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=3788 /prefetch:8
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","13856","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network connection detected:
RuleName: Usermode
UtcTime: 2025-02-06 22:41:00.753
ProcessGuid: {425f3eb2-c0e8-67a5-210e-000000000d00}
ProcessId: 5328
Image: C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: DESKTOP-F21NMCI\admin
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.228.130
SourceHostname: DESKTOP-F21NMCI.localdomain
SourcePort: 51005
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 20.44.10.123
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https","3","5",,"4","3","0","-9223372036854775808","13855","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4916","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Network connection detected (rule: NetworkConnect)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Dns query:
RuleName: -
UtcTime: 2025-02-06 22:41:01.156
ProcessGuid: {425f3eb2-c0e7-67a5-1e0e-000000000d00}
ProcessId: 8868
QueryName: wpad
QueryStatus: 1460
QueryResults: -
Image: C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: DESKTOP-F21NMCI\admin","22","5",,"4","22","0","-9223372036854775808","13854","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","5056","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Dns query (rule: DnsQuery)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-02-07 08:14:39.632
ProcessGuid: {425f3eb2-c0ef-67a5-7c0e-000000000d00}
ProcessId: 9572
Image: C:\Program Files\Git\cmd\git.exe
FileVersion: 2.47.1.windows.2
Description: Git for Windows
Product: Git
Company: The Git Development Community
OriginalFileName: git.exe
CommandLine: ""C:\Program Files\Git\cmd\git.exe"" for-each-ref --format=%%(refname)The operation completed successfully.%%(upstream:short)The operation completed successfully.%%(objectname)The operation completed successfully.%%(upstream:track)The operation completed successfully.%%(upstream:remotename)The operation completed successfully.%%(upstream:remoteref) --ignore-case refs/heads/origin/main refs/remotes/origin/main
CurrentDirectory: C:\Users\admin\Desktop\export-sysmon-log\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-d380-67a4-4938-020000000000}
LogonId: 0x23849
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=159617E95EE3199A9973BAF947356890,SHA256=332883EA074ABEABAA6B2FF4D744371DA0FA00D259F7E49D3AB5C8FDFBE80920,IMPHASH=EE3C6A8F0AB6258AC0199A08F878F6B3
ParentProcessGuid: {425f3eb2-c0e8-67a5-210e-000000000d00}
ParentProcessId: 5328
ParentImage: C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe
ParentCommandLine: ""C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\admin\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=3792,i,5256079706014587714,9801614069133507600,262144 --disable-features=CalculateNativeWinOcclusion,PlzDedicatedWorker,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=3788 /prefetch:8
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","13853","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-02-07 08:14:39.581
ProcessGuid: {425f3eb2-c0ef-67a5-7a0e-000000000d00}
ProcessId: 10708
Image: C:\Users\admin\Desktop\export-sysmon-log\.venv\Scripts\python.exe
FileVersion: 3.10.11
Description: Python
Product: Python
Company: Python Software Foundation
OriginalFileName: py.exe
CommandLine: c:\Users\admin\Desktop\export-sysmon-log\.venv\Scripts\python.exe -I c:\Users\admin\.vscode\extensions\ms-python.vscode-pylance-2025.2.1\dist\bundled\files\get_pytest_options.py
CurrentDirectory: c:\Users\admin\Desktop\export-sysmon-log\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-d380-67a4-4938-020000000000}
LogonId: 0x23849
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=D497B0E4688AD34217FBD4D9B632DE85,SHA256=B2C836C52CDF063180B9EE76F67AC42946101B79AC457F3494035A67C090D961,IMPHASH=C91715637F89CFF9813ED6D375592AA2
ParentProcessGuid: {425f3eb2-c0ed-67a5-360e-000000000d00}
ParentProcessId: 4044
ParentImage: C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe
ParentCommandLine: ""C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\Code.exe"" c:\Users\admin\.vscode\extensions\ms-python.vscode-pylance-2025.2.1\dist\server.bundle.js --cancellationReceive=file:d8c57deddba634dbb4ccad0b898c8e77327e71b192 --node-ipc --clientProcessId=5328
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","13852","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process terminated:
RuleName: -
UtcTime: 2025-02-07 08:14:39.509
ProcessGuid: {425f3eb2-c0ef-67a5-670e-000000000d00}
ProcessId: 9992
Image: C:\Users\admin\Desktop\export-sysmon-log\.venv\Scripts\python.exe
User: DESKTOP-F21NMCI\admin","5","3",,"4","5","0","-9223372036854775808","13851","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process terminated (rule: ProcessTerminate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-02-07 08:14:39.515
ProcessGuid: {425f3eb2-c0ef-67a5-790e-000000000d00}
ProcessId: 7432
Image: C:\Program Files\Git\mingw64\bin\git.exe
FileVersion: 2.47.1.windows.2
Description: Git for Windows
Product: Git
Company: The Git Development Community
OriginalFileName: git.exe
CommandLine: git.exe status -z -uall
CurrentDirectory: C:\Users\admin\Desktop\export-sysmon-log\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-d380-67a4-4938-020000000000}
LogonId: 0x23849
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=775A357FD1D98231B18949DAD9120376,SHA256=99AA707073DC30AE0F2259DAC777041E69EE90BBB8977174A1832A708B1FBB61,IMPHASH=EB9545C6B03DEE5ACFDE883F783112D0
ParentProcessGuid: {425f3eb2-c0ef-67a5-710e-000000000d00}
ParentProcessId: 1304
ParentImage: C:\Program Files\Git\cmd\git.exe
ParentCommandLine: ""C:\Program Files\Git\cmd\git.exe"" status -z -uall
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","13850","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process terminated:
RuleName: -
UtcTime: 2025-02-07 08:14:39.493
ProcessGuid: {425f3eb2-c0ef-67a5-700e-000000000d00}
ProcessId: 5384
Image: C:\Users\admin\AppData\Local\Programs\Python\Python310\python.exe
User: DESKTOP-F21NMCI\admin","5","3",,"4","5","0","-9223372036854775808","13849","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process terminated (rule: ProcessTerminate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-02-07 08:14:39.468
ProcessGuid: {425f3eb2-c0ef-67a5-780e-000000000d00}
ProcessId: 10272
Image: C:\Windows\System32\chcp.com
FileVersion: 10.0.18362.1 (WinBuild.160101.0800)
Description: Change CodePage Utility
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: CHCP.COM
CommandLine: C:\Windows\System32\chcp.com
CurrentDirectory: C:\Users\admin\AppData\Local\Programs\Microsoft VS Code\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-d380-67a4-4938-020000000000}
LogonId: 0x23849
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=5DDB7FC9322E041B88613637FED7998B,SHA256=A4B7008F01941927476EB733E80808EABBB9E8051BD4BB20444DAEBF88FE277E,IMPHASH=75FA51C548B19C4AD5051FAB7D57EB56
ParentProcessGuid: {425f3eb2-c0ef-67a5-760e-000000000d00}
ParentProcessId: 4792
ParentImage: C:\Windows\System32\cmd.exe
ParentCommandLine: C:\Windows\system32\cmd.exe /c ""C:\Windows\System32\chcp.com""
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","13848","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-02-07 08:14:39.465
ProcessGuid: {425f3eb2-c0ef-67a5-770e-000000000d00}
ProcessId: 5948
Image: C:\Program Files\Git\mingw64\bin\git.exe
FileVersion: 2.47.1.windows.2
Description: Git for Windows
Product: Git
Company: The Git Development Community
OriginalFileName: git.exe
CommandLine: git.exe for-each-ref --sort -committerdate --format ""%%(refname) %%(objectname) %%(*objectname)""
CurrentDirectory: C:\Users\admin\Desktop\export-sysmon-log\
User: DESKTOP-F21NMCI\admin
LogonGuid: {425f3eb2-d380-67a4-4938-020000000000}
LogonId: 0x23849
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=775A357FD1D98231B18949DAD9120376,SHA256=99AA707073DC30AE0F2259DAC777041E69EE90BBB8977174A1832A708B1FBB61,IMPHASH=EB9545C6B03DEE5ACFDE883F783112D0
ParentProcessGuid: {425f3eb2-c0ef-67a5-720e-000000000d00}
ParentProcessId: 10348
ParentImage: C:\Program Files\Git\cmd\git.exe
ParentCommandLine: ""C:\Program Files\Git\cmd\git.exe"" for-each-ref --sort -committerdate --format ""%(refname) %(objectname) %(*objectname)""
ParentUser: DESKTOP-F21NMCI\admin","1","5",,"4","1","0","-9223372036854775808","13847","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","2996","4896","DESKTOP-F21NMCI","S-1-5-18","2/7/2025 3:14:39 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Process Create (rule: ProcessCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
